frame_id, x, y, z
287, 72.815770, 3.635914, 17.647790
288, 67.588360, 3.933439, 12.332760
289, 62.314330, 4.230049, 7.007367
290, 57.127490, 4.503137, 1.655679
291, 51.987360, 4.730281, -3.692204
292, 46.935070, 4.844236, -9.021045
293, 41.910660, 4.990965, -14.274210
294, 37.185420, 5.023351, -19.318100
295, 32.866820, 5.035514, -24.157290
296, 28.994380, 5.012866, -28.708570
297, 25.635890, 4.911415, -32.730080
298, 22.621160, 4.849439, -35.934900
299, 19.734310, 4.809316, -38.186450
300, 16.957070, 4.710410, -39.442020
301, 14.191360, 4.600733, -39.829780
302, 11.649030, 4.569883, -39.424110
303, 9.346772, 4.558865, -38.357210
304, 7.308945, 4.562789, -36.616890
305, 5.653599, 4.581954, -34.272080
306, 4.467981, 4.521503, -31.371810
307, 3.675026, 4.304388, -28.058910
308, 3.070532, 4.067978, -24.428670
309, 2.477719, 3.836418, -20.558910
310, 1.883217, 3.631509, -16.438970
311, 1.332990, 3.402079, -12.205180
312, 0.808984, 3.231920, -8.142150
313, 0.172462, 3.166402, -4.328516
314, -0.515324, 3.107244, -0.728113
315, -1.304476, 3.098012, 2.711778
316, -2.326851, 3.074640, 6.156888
